Raters;101F;102F;103F;104F;105F;106F;113F;114F;115F;116F;117F;118F;125F;126F;127F;128F;129F;130F;131F;132F;133F;134F;135F;136F;143F;144F;145F;146F;147F;148F;167F;168F;169F;170F;171F;172F;173F;174F;175F;176F;185F;194F;195F;196F;197F;198F;199F;200F;201F
CMR16F_fem24;6;5;4;4;4;3;4;5;2;3;3;6;5;4;5;5;4;4;5;5;4;5;4;4;4;4;4;5;5;4;4;5;5;5;5;5;4;4;6;4;5;3;3;6;5;3;5;5;6
CMR16F_fem25;7;7;5;6;3;5;7;7;7;6;6;6;6;6;6;6;6;7;6;7;6;5;5;7;7;6;6;7;6;5;7;6;7;5;7;7;6;5;7;4;5;5;6;7;5;4;7;7;7
CMR16F_fem26;6;6;4;6;5;4;3;4;4;5;5;6;6;6;6;6;4;4;6;5;5;5;5;6;3;5;5;6;3;5;4;4;5;6;4;7;5;6;5;4;3;5;6;5;3;4;5;6;6
CMR16F_fem27;7;3;3;2;2;4;5;4;6;4;2;5;4;5;4;4;4;3;5;2;4;5;5;3;7;4;4;4;3;4;5;3;4;2;5;5;4;2;5;3;5;2;5;4;3;2;5;7;7
CMR16F_fem28;6;3;3;3;2;3;6;3;6;2;3;2;6;3;4;6;3;5;5;3;3;2;2;5;3;4;3;5;5;3;6;3;2;4;3;3;2;2;4;2;6;2;2;6;3;3;3;7;7
CMR16F_fem29;5;4;2;3;3;3;3;4;3;2;3;4;4;3;3;3;4;4;4;3;3;2;3;4;3;4;2;5;3;4;3;2;4;4;3;5;4;2;4;3;3;3;3;4;3;2;3;5;5
CMR16F_fem30;6;5;2;6;5;4;5;4;4;3;4;5;6;5;6;6;6;6;7;5;7;4;5;6;5;5;4;7;5;3;5;5;4;7;6;7;3;7;6;2;6;4;5;5;5;3;5;6;7
CMR16F_fem31;4;5;4;4;5;4;4;4;7;2;3;4;4;3;3;5;3;4;6;5;3;4;4;5;5;4;3;5;3;4;5;5;4;5;3;6;5;5;7;3;5;2;5;4;4;4;3;6;7
CMR16F_fem32;5;5;2;1;1;1;4;4;5;1;2;4;4;4;3;3;2;4;5;6;3;4;3;2;5;4;1;3;2;2;2;3;3;2;1;5;3;1;4;6;4;1;6;6;4;1;5;6;7
CMR16F_fem33;7;6;2;6;4;4;4;7;6;5;4;4;7;4;4;7;7;6;6;5;6;7;7;7;7;5;2;7;6;6;6;4;6;6;7;7;4;4;6;4;6;4;4;7;4;2;6;7;7
CMR16F_fem34;6;5;5;6;6;6;6;6;5;6;7;5;6;5;5;6;5;5;7;5;6;6;5;5;6;5;5;7;5;6;6;5;6;7;6;5;6;5;6;5;6;4;5;6;6;6;5;7;6
CMR16F_fem35;3;4;2;6;2;1;4;2;2;6;1;2;6;2;3;2;3;3;4;2;1;2;4;2;1;3;4;1;4;1;2;6;5;2;2;1;6;6;3;4;1;3;2;3;3;4;4;4;6
CMR16F_fem36;5;5;3;4;3;4;6;4;5;3;4;6;5;5;3;4;4;5;4;4;3;4;3;3;7;4;4;5;5;5;4;5;3;3;4;4;5;4;4;2;5;3;5;4;3;4;4;6;4
CMR16F_fem37;6;7;4;6;3;5;5;7;5;7;7;6;6;7;5;5;7;6;7;6;6;6;5;6;5;4;5;7;5;6;6;7;6;4;6;6;6;4;7;3;7;4;5;5;5;4;6;6;7
CMR16F_fem38;7;1;4;3;3;5;7;7;3;1;4;5;7;2;2;5;7;5;3;5;5;6;3;2;5;4;3;6;5;4;4;4;1;5;5;5;4;1;6;1;7;3;3;5;5;4;4;7;7
CMR16F_fem39;4;3;1;1;2;3;2;3;2;1;1;2;1;1;2;5;2;2;4;1;2;3;2;3;2;5;1;4;2;5;1;1;2;1;3;2;4;1;2;1;2;1;1;2;1;1;1;7;7
CMR16F_fem40;3;6;7;4;3;1;3;4;6;7;5;5;1;1;6;2;5;4;1;4;4;5;2;5;7;5;5;6;4;4;7;6;6;7;6;3;1;1;6;1;5;7;6;7;4;1;2;1;7
CMR16F_fem41;5;4;3;3;3;5;4;4;5;4;3;4;5;3;4;5;5;3;5;4;3;5;5;4;4;3;3;4;3;4;5;4;4;4;4;5;4;3;4;5;5;4;3;5;4;3;4;5;6
CMR16F_fem42;7;5;2;2;6;4;7;7;6;6;4;7;7;5;7;6;5;6;7;6;5;6;5;6;5;5;3;7;5;5;5;6;6;5;6;7;3;2;7;4;7;1;6;6;7;5;4;7;7
CMR16F_fem43;6;3;1;2;2;3;3;4;4;2;4;3;6;4;3;3;3;4;4;3;2;3;2;3;7;5;1;5;3;2;6;4;2;3;4;3;3;2;5;3;3;1;2;6;5;2;2;7;7
CMR16F_fem44;3;3;1;2;2;2;4;4;3;2;2;2;2;2;2;2;2;4;5;3;3;3;2;3;3;2;2;5;2;2;4;2;2;2;4;3;4;2;4;3;4;1;2;3;2;2;2;5;6
CMR16F_fem45;6;5;5;2;2;3;5;6;6;2;3;6;5;3;1;7;2;4;6;5;4;4;4;5;4;3;4;6;3;2;1;3;4;5;7;7;6;1;6;1;3;1;2;6;3;3;4;7;5
CMR16F_fem46;6;3;5;2;2;5;7;3;5;2;2;5;7;3;3;4;3;5;6;3;3;2;3;2;6;6;5;5;7;3;6;6;4;3;3;6;6;1;5;1;3;2;5;4;5;2;2;7;7
CMR16F_fem47;5;6;4;4;4;5;7;5;6;5;6;5;4;4;5;7;5;4;7;4;4;4;6;4;5;5;5;5;6;4;6;5;5;4;5;7;6;4;7;4;6;4;5;5;4;3;4;7;7
CMR16F_fem48;6;5;3;5;5;4;5;5;6;2;4;6;5;3;5;5;3;2;7;4;5;7;5;6;5;5;3;6;3;4;3;4;4;5;3;6;4;1;5;5;7;1;2;4;3;1;2;7;7
CMR16F_fem49;7;3;5;4;2;4;5;5;6;6;3;5;7;1;3;3;5;3;2;2;4;5;1;5;6;5;2;6;2;5;5;2;1;2;7;4;3;1;2;1;7;1;2;6;1;4;2;7;7
CMR16F_fem50;7;5;4;5;4;5;7;5;6;5;3;6;6;3;5;5;5;6;6;6;5;3;6;5;7;6;5;6;5;6;6;5;5;5;5;5;6;5;6;5;5;3;4;4;5;5;5;7;7
CMR16F_fem51;5;4;4;3;4;5;5;4;5;4;2;3;4;3;5;5;4;4;4;3;4;6;5;5;5;4;3;5;4;4;5;3;5;4;5;6;5;4;4;4;5;5;3;5;3;3;3;7;5
CMR16F_fem52;7;5;5;5;3;5;4;5;5;3;3;4;7;3;6;4;6;3;7;4;2;5;4;3;6;5;5;7;4;5;6;4;2;6;6;4;6;3;7;2;6;1;5;6;7;2;6;6;7
CMR16F_fem53;6;5;6;5;6;6;6;6;6;5;6;7;7;6;7;6;6;6;5;4;4;7;6;5;7;7;5;7;6;7;7;6;6;4;6;7;6;4;6;6;6;4;6;6;6;4;6;5;7
CMR16F_fem54;6;7;6;7;6;6;6;7;6;6;6;5;6;6;5;6;5;5;5;6;6;5;6;7;6;6;6;6;6;6;7;5;7;7;6;7;6;7;7;6;5;7;7;5;4;6;5;7;5
CMR16F_fem55;6;3;4;4;3;4;4;2;1;2;3;5;3;4;3;4;2;5;5;3;5;5;2;2;2;3;4;6;3;3;3;3;3;4;3;3;3;3;3;3;2;4;5;2;3;4;3;6;6
CMR16F_fem56;6;2;4;2;3;4;4;5;6;3;4;5;4;6;4;6;4;4;3;3;4;2;3;5;6;4;5;5;3;3;6;1;5;3;5;5;4;3;4;2;4;1;4;4;3;4;3;4;5
CMR16F_fem57;5;6;4;4;4;4;5;5;6;3;3;5;5;3;4;5;5;5;5;4;3;2;4;4;5;5;4;5;4;3;5;4;4;4;5;4;4;2;5;4;4;1;3;4;5;3;4;6;6
CMR16F_fem58;7;6;5;6;4;7;7;6;6;5;5;7;6;4;6;6;6;7;6;6;3;6;5;5;6;6;6;7;6;4;5;7;4;6;6;7;5;6;6;5;6;2;6;5;6;6;7;7;7
CMR16F_fem59;7;4;3;6;6;6;5;7;7;5;5;5;5;6;4;5;7;5;7;4;7;7;5;6;5;5;5;7;6;5;4;5;7;5;7;6;6;1;7;5;6;2;5;7;4;4;6;7;7
CMR16F_fem60;7;4;6;3;3;5;6;6;6;4;5;4;3;4;4;6;5;3;2;6;4;7;6;6;6;5;4;7;5;5;7;5;5;5;6;7;5;6;7;3;5;2;4;6;3;2;4;6;7
CMR16F_fem61;6;2;1;2;6;6;2;4;7;5;3;3;2;3;4;4;4;2;5;2;6;4;1;2;4;4;5;7;6;3;6;2;2;3;3;7;4;7;5;1;4;1;4;3;2;1;4;7;7
CMR16F_fem62;6;6;5;5;5;5;6;6;6;5;6;6;6;6;5;6;6;5;6;5;6;5;6;6;6;5;5;6;6;7;6;6;6;4;6;7;6;6;6;6;6;5;6;5;4;5;6;5;6
CMR16F_fem63;6;6;5;5;2;5;5;5;6;3;4;6;6;6;5;5;6;5;6;5;5;6;3;3;5;6;5;5;5;4;6;6;7;6;7;6;6;5;7;3;4;2;5;6;6;4;5;7;7
CMR16F_fem64;7;6;6;2;1;4;4;5;4;7;1;5;5;6;4;1;2;4;7;6;3;4;3;7;4;4;5;7;4;4;5;3;2;2;4;6;2;6;1;2;2;1;2;4;6;2;5;7;7
CMR16F_fem65;5;6;1;2;3;6;4;3;4;2;6;2;4;4;4;5;4;4;4;3;4;2;6;6;2;2;4;5;4;5;6;3;7;5;1;6;6;1;7;3;5;1;3;6;4;2;4;4;7
CMR16F_fem66;4;6;3;5;2;3;4;5;5;4;3;6;5;4;4;5;4;6;4;4;3;4;3;5;4;5;3;5;4;3;4;3;4;5;6;5;5;4;7;1;3;1;4;5;3;4;5;5;4
CMR16F_fem67;4;3;2;3;4;3;3;3;5;2;3;3;4;3;4;2;3;3;3;3;2;4;4;3;4;5;3;4;4;6;3;3;3;3;3;5;2;3;5;2;3;3;3;4;3;2;4;6;5
CMR16F_fem68;7;7;6;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;7;7;7;7;7;7;7
CMR16F_fem69;7;7;3;7;5;6;5;6;4;5;6;6;7;7;4;7;5;5;6;6;5;4;4;5;6;6;6;7;7;7;6;6;5;4;6;7;5;3;5;4;6;1;6;6;6;1;7;7;5
CMR16F_fem70;7;1;2;1;2;1;5;6;7;1;1;2;5;2;7;2;7;2;7;1;1;2;6;1;7;7;6;7;6;1;7;1;1;7;4;7;3;1;4;1;7;1;6;5;5;1;2;7;7
CMR16F_fem71;5;6;2;3;2;5;3;6;7;5;2;3;5;2;2;5;3;4;5;3;5;4;4;4;4;4;4;7;6;3;4;1;3;4;3;5;5;2;6;1;3;1;4;3;2;2;3;6;7
CMR16F_fem72;4;2;3;3;3;2;3;5;4;3;2;4;5;2;3;4;3;5;5;3;3;5;3;5;4;5;3;6;5;4;3;4;4;4;4;3;4;3;3;3;3;3;3;4;4;2;3;5;7
CMR16F_fem73;7;2;2;5;6;6;5;5;6;3;4;7;6;5;4;7;7;4;7;6;5;2;6;4;5;5;4;7;2;5;6;2;2;5;6;6;5;6;6;1;7;2;5;6;7;4;6;7;6
CMR16F_fem74;7;5;4;4;4;5;5;6;6;5;5;6;5;4;5;6;5;5;6;4;5;5;5;5;5;4;4;5;5;5;5;5;5;4;6;5;5;4;5;4;5;3;4;5;5;4;5;7;7
CMR16F_fem75;7;7;1;4;3;5;6;5;7;5;4;7;7;5;5;4;1;6;7;6;7;6;7;5;5;5;6;6;5;5;6;5;7;6;4;5;6;6;7;4;4;2;5;7;5;4;6;7;7
CMR16F_fem76;2;5;1;2;5;5;3;4;3;2;1;6;1;1;1;1;1;4;4;3;4;4;2;2;1;2;3;7;2;4;2;1;4;3;1;5;2;3;3;1;2;1;1;5;3;1;2;5;7
CMR16F_fem77;6;4;2;3;4;5;2;6;6;2;3;4;5;3;5;5;4;4;6;6;3;4;4;5;4;5;4;6;5;4;5;4;4;5;3;6;5;4;5;2;5;2;5;5;2;2;3;6;6
CMR16F_fem78;7;4;5;4;3;5;6;4;6;4;5;6;5;3;4;6;5;5;7;5;6;4;4;5;5;6;5;5;5;5;7;4;5;5;5;5;7;7;6;4;5;2;3;6;5;5;5;7;6
CMR16F_fem79;7;3;2;3;4;5;5;4;7;5;5;4;5;4;4;6;3;5;2;3;3;3;4;7;6;4;3;4;6;3;5;6;2;3;5;7;5;2;3;3;5;2;7;5;3;1;2;7;5
CMR16F_fem80;7;5;2;3;2;7;6;5;7;3;1;5;4;1;4;3;7;6;5;6;5;2;4;2;2;4;6;6;7;6;6;6;5;4;3;6;4;3;5;5;4;1;3;6;5;3;6;7;6
CMR16F_fem81;6;4;4;1;1;4;7;4;7;4;6;6;3;4;1;1;3;2;2;2;6;4;2;3;4;4;6;4;6;4;2;2;2;4;3;1;6;2;6;4;4;2;4;6;4;5;4;6;7
CMR16F_fem82;5;5;4;5;4;5;5;6;6;5;5;5;5;5;5;4;5;6;4;5;6;4;5;4;5;7;5;6;4;6;6;5;6;5;3;6;5;5;6;3;5;5;5;5;5;4;5;7;6
CMR16F_fem83;5;4;3;5;5;4;5;4;5;4;4;5;5;5;4;5;5;5;4;5;5;6;4;5;5;5;4;5;5;5;5;3;4;4;3;5;4;4;5;5;4;3;5;5;5;4;4;5;5
CMR16F_fem84;6;2;2;2;2;3;5;6;4;4;2;5;3;2;4;5;2;4;5;4;3;5;4;5;4;4;3;6;2;4;4;2;3;4;6;5;4;4;4;3;5;3;4;6;5;3;4;6;6
CMR16F_fem85;6;4;4;4;5;5;5;5;5;5;4;4;5;4;5;6;5;5;7;5;5;5;5;4;6;5;4;5;5;5;7;5;5;5;5;5;4;4;5;5;6;5;5;6;5;4;4;6;7
CMR16F_fem86;7;3;3;2;3;4;5;6;6;1;5;7;5;5;2;5;4;4;7;6;5;3;6;6;3;6;7;7;3;3;5;4;7;4;6;7;5;4;7;7;5;2;5;6;6;7;6;7;7
CMR16F_fem87;7;7;2;4;1;6;3;5;7;2;6;5;6;6;5;4;4;7;6;4;2;5;2;5;5;6;4;6;6;3;7;5;4;6;7;4;4;5;5;2;3;1;2;7;5;2;5;6;7
CMR16F_fem88;7;6;2;5;2;4;7;4;6;4;5;5;5;4;5;4;5;6;6;3;6;5;4;6;6;6;2;7;6;3;6;3;5;5;3;7;4;6;7;2;5;2;5;6;3;2;4;7;7
CMR16F_fem89;7;3;5;3;5;5;5;6;5;5;3;5;7;5;3;6;4;5;7;6;5;5;5;5;5;5;4;5;5;4;4;5;4;6;6;5;5;7;7;4;3;4;5;5;4;5;6;7;7
CMR16F_fem90;3;2;1;2;1;3;3;5;7;1;1;2;2;3;3;7;1;4;1;3;2;1;2;2;3;1;2;2;2;2;3;3;1;2;5;1;3;2;4;3;2;1;3;3;2;1;2;1;7
CMR16F_fem91;7;7;6;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;6;6;6;7;7;7;5;7;5;7;1;7;7;6;6;7;7;7
CMR16F_fem92;6;7;6;2;6;5;3;7;6;7;4;5;7;5;6;7;3;6;4;5;3;5;5;7;7;4;1;7;7;6;7;7;5;7;7;7;5;7;7;1;7;1;7;6;7;5;7;7;7
CMR16F_fem93;6;3;1;3;1;6;3;6;6;4;2;5;7;2;4;4;3;6;6;1;6;6;3;6;6;6;2;4;2;5;6;5;7;2;6;6;3;1;7;1;5;1;3;6;1;1;6;7;7
CMR16F_fem94;4;5;1;7;7;6;3;7;6;5;5;5;5;5;6;5;1;7;4;4;6;7;4;5;4;5;6;6;7;4;6;4;5;5;5;4;4;1;5;3;6;2;5;6;4;3;3;7;7
