Rater;1010_M;1030_M;1080_M;1090_M;1110_M;1120_M;1130_M;1160_M;2010_M;2021_M;2040_M;3020_M;3030_M;4010_M;4030_M;4040_M;4050_M;4070_M;4080_M;4140_M;4150_M;4170_M;4180_M;4200_M;4210_M;4220_M;4230_M;7020_M;7030_M;7060_M;8030_M;8040_M;8050_M;8090_M;8140_M;9010_M;10020_M;11010_M;11020_M
CZ_masc_18;5;4;3;6;4;4;3;2;5;4;6;7;3;4;9;5;3;2;4;3;1;1;3;4;4;4;5;5;3;5;4;5;4;2;1;2;3;6;4
CZ_masc_19;4;2;4;4;3;3;4;4;4;2;6;4;5;6;9;6;5;3;5;3;2;8;3;2;5;7;2;2;4;3;3;5;5;2;1;3;2;5;4
CZ_masc_20;6;2;4;7;6;6;6;5;6;7;7;7;7;7;4;7;7;6;5;5;4;8;4;5;7;7;5;7;5;7;5;7;7;5;5;6;7;6;7
CZ_masc_21;5;4;6;5;4;3;5;4;4;6;5;6;4;5;2;6;3;4;5;3;2;8;4;4;6;5;4;5;4;5;4;6;4;5;4;5;5;5;5
CZ_masc_22;4;4;4;5;3;4;3;2;3;4;5;5;4;5;8;5;2;3;4;3;3;8;3;2;4;5;4;4;3;4;3;5;4;4;2;4;4;5;4
CZ_masc_23;5;4;5;4;4;4;3;5;4;6;5;6;6;5;2;6;4;2;4;3;3;2;3;3;5;5;4;4;4;4;4;6;4;4;3;4;3;4;5
CZ_masc_24;5;5;4;5;5;5;4;3;6;6;5;6;5;6;3;6;4;5;5;4;3;8;3;4;5;5;3;5;4;5;3;6;5;4;3;6;5;6;5
CZ_masc_25;6;4;5;5;5;3;4;5;3;4;6;6;2;6;2;5;3;4;3;3;3;8;4;3;3;5;3;4;2;4;3;6;5;4;1;5;5;4;2
CZ_masc_26;4;5;5;4;3;4;4;4;5;4;4;5;4;6;9;4;3;2;4;3;4;8;2;4;4;5;2;6;3;3;4;6;3;2;1;3;3;4;4
CZ_masc_27;5;3;2;6;3;5;4;2;4;5;6;6;4;6;8;6;4;3;3;4;3;8;3;4;6;4;4;4;2;5;2;6;5;3;1;5;4;4;4
CZ_masc_28;3;2;6;5;4;5;3;2;7;3;6;6;2;5;9;6;6;3;2;1;5;8;2;1;4;6;2;6;2;5;4;5;4;4;2;3;4;7;3
CZ_masc_29;4;4;3;6;4;5;4;5;5;3;5;5;4;4;8;4;3;3;5;3;4;2;3;2;6;4;2;5;2;4;4;7;5;4;2;5;3;4;2
CZ_masc_30;4;3;3;3;5;2;5;2;1;6;6;6;5;5;9;4;3;4;6;3;2;3;3;2;2;5;4;6;4;4;3;6;6;3;2;4;4;5;6
CZ_masc_31;5;4;4;4;5;5;5;4;3;4;5;5;6;6;2;7;5;4;4;4;4;8;4;4;5;7;4;5;4;7;6;7;6;4;4;6;5;6;7
CZ_masc_32;6;4;3;7;5;5;5;3;6;3;5;6;3;5;2;4;6;3;5;5;4;3;3;4;6;4;5;6;2;5;5;5;6;4;1;4;5;6;5
CZ_masc_33;5;4;4;5;3;4;2;2;4;2;4;6;2;5;9;5;2;2;5;2;2;1;3;3;4;5;2;4;1;5;4;7;4;2;2;1;2;5;5
CZ_masc_34;4;6;5;7;5;3;3;2;5;4;6;7;6;7;9;6;3;4;6;5;4;8;2;4;4;7;3;4;4;5;4;5;5;2;2;4;4;4;5
CZ_masc_35;7;3;5;7;4;4;2;2;4;5;7;7;5;6;9;7;3;2;6;2;4;7;3;3;4;7;3;5;2;3;4;6;5;2;1;3;3;6;7
CZ_masc_36;7;7;5;6;5;4;4;4;6;6;7;7;5;7;2;7;6;3;6;5;4;2;5;5;7;6;4;5;4;6;5;7;6;7;3;5;6;6;5
CZ_masc_37;6;3;6;7;5;5;5;3;5;6;7;7;5;7;8;7;5;4;4;3;4;8;5;2;6;6;4;4;3;5;3;6;6;3;3;6;6;5;5
CZ_masc_38;5;4;5;5;4;4;4;4;4;5;5;5;4;5;2;5;4;3;5;4;3;8;4;4;4;5;4;4;3;4;3;5;4;4;3;4;4;5;5
CZ_masc_39;7;4;7;5;6;5;2;2;5;6;5;6;5;7;8;7;2;2;6;3;2;3;2;2;3;5;5;6;3;5;4;6;6;2;2;5;6;6;7
CZ_masc_40;4;4;4;6;6;5;3;5;5;5;6;7;4;6;8;7;4;3;5;4;3;2;3;3;5;5;3;5;3;5;3;5;6;4;3;3;6;5;4
CZ_masc_41;5;5;5;6;3;4;5;5;6;5;5;7;5;6;9;7;6;2;3;5;2;8;2;4;5;6;2;4;4;4;5;5;4;5;1;6;3;4;6
CZ_masc_42;4;5;3;5;4;5;3;4;4;4;4;6;4;5;8;5;5;3;5;4;2;7;3;2;3;4;2;4;2;5;4;4;5;4;3;4;5;4;4
CZ_masc_43;5;2;3;5;3;3;3;4;4;5;5;6;4;3;9;6;3;3;6;3;2;7;4;3;5;5;2;5;5;5;4;6;4;4;2;3;3;6;5
CZ_masc_44;5;3;5;6;4;4;3;4;5;5;5;5;5;6;2;6;4;4;3;3;2;2;3;3;5;6;3;5;4;3;4;6;3;4;2;5;5;5;4
CZ_masc_45;7;5;7;5;6;3;6;4;7;7;7;7;4;7;2;4;6;2;7;1;5;7;6;6;7;7;4;7;2;7;6;7;4;3;1;6;3;7;7
CZ_masc_46;4;2;3;5;3;5;4;3;2;4;4;4;5;4;9;5;3;4;3;5;3;2;4;3;3;5;4;4;3;5;4;6;4;3;3;1;4;5;4
CZ_masc_47;5;3;5;6;3;4;5;1;2;5;4;5;3;4;8;5;3;3;4;3;3;8;2;2;5;5;1;5;2;2;3;5;5;1;2;3;6;6;4
CZ_masc_48;5;5;6;5;5;5;4;4;3;5;7;7;6;7;3;7;5;4;5;4;4;2;3;3;6;6;4;3;4;5;5;6;6;2;2;3;4;5;3
CZ_masc_49;2;4;3;4;3;5;1;1;1;5;3;6;1;4;9;5;3;1;4;2;3;1;3;2;3;6;4;5;1;5;2;6;6;2;1;3;4;3;4
CZ_masc_50;5;4;5;5;5;5;2;2;3;4;5;7;6;6;2;7;5;5;3;4;3;8;3;4;3;6;5;2;2;6;3;5;5;3;1;4;5;5;5
CZ_masc_51;4;1;6;4;4;3;2;2;4;4;3;5;4;5;8;5;3;2;3;3;3;8;1;2;3;3;2;6;3;4;2;3;5;2;1;3;4;4;3
CZ_masc_52;4;3;3;5;2;3;3;2;2;3;3;5;2;4;9;5;2;2;3;2;2;7;2;4;3;3;2;2;2;2;3;6;4;3;1;4;4;4;4
CZ_masc_53;7;3;5;6;4;2;2;2;6;4;4;4;4;5;9;6;3;3;6;2;3;8;4;4;5;4;2;5;1;2;4;6;4;3;1;3;2;5;6
CZ_masc_54;4;4;4;4;4;4;3;3;5;3;5;5;4;4;8;6;5;3;5;4;3;2;3;4;5;5;4;6;4;5;3;6;4;4;3;5;5;5;4
CZ_masc_55;5;5;6;7;5;3;4;4;4;5;6;5;4;6;8;6;5;2;5;3;3;3;4;2;6;7;3;5;2;3;4;7;4;2;3;4;4;4;5
CZ_masc_56;5;5;5;6;5;3;3;1;4;5;6;6;4;5;2;7;2;5;4;3;3;4;2;3;6;6;2;7;3;7;5;6;4;4;2;3;3;6;4
CZ_masc_57;5;3;4;7;4;2;5;3;5;4;4;7;2;5;9;7;1;1;6;3;1;8;3;2;4;6;2;5;2;5;3;6;4;4;1;4;4;4;4
CZ_masc_58;2;3;4;3;2;3;3;2;2;6;4;7;3;5;8;6;2;2;3;3;1;2;2;2;3;2;1;2;1;4;1;4;4;1;2;3;3;3;2
CZ_masc_59;3;3;3;5;5;4;5;4;6;4;6;5;3;4;8;5;6;3;6;3;5;8;5;4;6;5;5;6;3;4;3;6;4;4;2;3;5;3;2
CZ_masc_60;5;5;6;6;6;5;5;3;2;7;6;7;6;7;4;7;7;5;5;5;4;2;4;5;5;6;4;5;5;6;4;6;6;4;3;6;6;5;5
CZ_masc_61;6;3;3;5;2;3;5;3;4;7;5;7;5;4;9;5;3;2;7;4;3;2;3;5;7;7;2;6;2;3;5;7;5;3;1;6;4;4;5
CZ_masc_62;6;5;6;6;5;5;5;6;6;6;6;6;6;6;3;6;5;5;6;5;5;2;5;5;6;6;5;6;5;5;5;6;6;5;4;5;6;6;6
CZ_masc_63;5;4;4;3;4;3;6;4;6;5;4;4;4;5;2;5;4;2;6;3;5;3;5;6;6;6;2;4;3;3;6;6;4;3;3;4;3;7;4
