Rater;1011_F;1041_F;1051_F;1061_F;2011_F;2021_F;2031_F;2051_F;3011_F;3021_F;4021_F;4031_F;4051_F;4061_F;4071_F;4081_F;4101_F;4111_F;4141_F;4151_F;4161_F;4191_F;4211_F;4221_F;4231_F;4241_F;4251_F;5011_F;5021_F;5031_F;5041_F;5051_F;5061_F;5071_F;5091_F;5101_F;5111_F;5121_F;5141_F;5151_F;5161_F;5171_F;5181_F;5191_F;5211_F;5231_F;6051_F;6091_F;6121_F;6131_F
CZ16F_fem30;3;1;7;4;2;2;2;3;2;1;1;4;5;5;3;2;6;6;5;6;2;6;3;5;4;4;3;4;3;2;2;3;3;5;2;1;4;5;3;2;1;5;5;1;3;4;4;3;4;5
CZ16F_fem31;5;5;6;4;6;4;5;6;5;6;5;5;5;6;5;4;5;6;6;6;4;6;6;6;5;5;5;4;6;4;6;5;5;6;4;4;5;5;4;5;4;6;5;5;6;6;6;5;6;6
CZ16F_fem32;5;2;6;2;5;2;4;4;4;2;2;3;3;4;3;3;5;6;4;4;3;5;5;5;3;4;5;5;6;3;5;4;4;5;4;1;5;5;3;3;4;5;6;3;6;6;6;4;4;5
CZ16F_fem33;4;1;7;4;4;1;4;6;5;3;3;4;5;7;6;5;3;3;5;5;3;6;5;7;4;5;5;6;5;3;4;5;2;5;2;1;6;7;5;4;3;7;7;4;6;7;6;6;6;6
CZ16F_fem34;6;4;5;6;6;2;4;5;5;1;1;6;5;7;4;3;3;6;4;5;5;6;6;6;5;5;6;7;6;6;6;6;6;5;6;3;7;5;6;6;3;6;7;3;5;6;6;6;6;6
CZ16F_fem35;4;2;6;4;3;1;3;4;5;2;3;4;4;5;3;3;6;4;3;6;3;5;5;5;3;5;4;3;4;3;4;4;4;6;3;2;2;5;4;4;4;5;5;3;5;3;4;4;3;5
CZ16F_fem36;5;4;6;2;3;2;2;5;4;1;3;5;5;4;3;2;3;6;3;6;4;6;3;6;4;3;3;4;5;3;5;4;3;5;4;1;6;5;2;4;4;4;5;3;7;5;6;3;5;6
CZ16F_fem37;6;3;5;4;4;3;4;3;3;2;3;4;3;5;5;2;3;4;5;4;2;3;5;4;6;4;3;5;4;4;4;4;4;5;4;4;6;5;3;4;4;5;4;5;6;5;5;5;4;5
CZ16F_fem38;4;2;5;4;4;5;5;5;4;3;4;5;4;5;5;4;4;6;6;5;4;6;6;5;4;6;4;5;5;4;3;5;4;5;5;2;6;6;4;4;4;6;4;5;5;5;6;6;5;6
CZ16F_fem39;3;1;5;4;4;1;3;7;3;1;2;3;3;5;4;2;5;5;3;5;3;6;4;7;3;4;2;3;6;2;3;3;2;6;3;1;5;6;4;3;3;6;5;5;5;6;6;4;3;6
CZ16F_fem40;4;2;4;4;4;2;2;4;3;1;2;2;3;5;2;1;3;4;2;4;2;5;4;4;3;3;3;3;3;3;3;3;2;3;2;1;3;3;3;2;2;5;4;3;4;3;3;3;3;3
CZ16F_fem41;4;1;5;3;3;2;4;3;3;2;3;4;3;3;3;4;3;4;4;4;2;6;3;4;2;4;3;2;5;5;3;4;4;3;3;1;4;3;3;2;4;3;4;4;4;4;5;4;5;4
CZ16F_fem42;4;2;5;2;5;2;3;4;6;1;5;5;5;7;5;1;4;6;5;6;4;7;6;6;4;3;5;5;6;5;5;5;5;6;5;1;7;7;3;6;3;7;5;5;6;7;4;5;6;6
CZ16F_fem43;3;2;3;2;3;2;2;2;3;3;2;4;3;4;4;3;3;5;3;4;2;3;3;3;5;3;2;2;4;2;4;3;3;3;2;3;4;4;3;2;3;4;4;3;3;4;4;4;4;5
CZ16F_fem44;4;2;6;3;3;3;2;4;4;3;2;4;4;6;2;3;5;4;4;6;1;4;2;5;5;5;2;3;4;5;3;4;2;5;5;1;6;6;4;5;3;4;5;2;4;6;5;5;5;4
