Rater	2040_M	4042_M	4090_M	4120_M	4130_M	4170_M	4200_M	6060_M	6080_M	7040_M	7060_M	7070_M	7090_M	7100_M	8010_M	8020_M	8030_M	8040_M	8050_M	8060_M	8070_M	8080_M	8090_M	8100_M	8110_M	9010_M	9012_M	9013_M	9020_M	9022_M	9023_M	9030_M	9032_M	9033_M	9040_M	9042_M	9043_M	9050_M	9052_M	9053_M	9060_M	9062_M	9063_M	9070_M	9072_M	9073_M	9082_M	9083_M	9102_M	9112_M
CZ16R11	1	1	2	1	1	1	3	2	2	1	1	2	2	3	2	1	2	2	1	4	3	1	1	1	1	1	1	4	1	1	1	1	1	3	2	1	1	1	3	2	2	2	3	1	5	1	1	1	3	1
CZ16R12	3	2	5	2	2	2	5	3	4	2	2	2	4	2	3	4	4	3	3	4	3	1	4	2	3	2	2	6	3	3	2	4	1	5	5	4	3	4	7	5	5	4	5	1	6	3	3	2	5	1
CZ16R13	4	3	4	3	2	3	5	4	4	2	1	4	3	3	3	4	2	2	2	4	3	1	4	2	2	2	1	5	4	2	3	2	2	5	4	2	3	2	4	4	3	3	2	1	6	4	4	2	4	2
CZ16R14	2	2	3	1	3	4	4	4	2	2	2	2	4	4	4	3	3	2	2	6	4	2	7	3	2	3	1	7	4	4	3	2	2	5	3	2	4	3	6	5	5	4	5	2	7	4	3	3	5	2
CZ16R15	2	1	2	1	1	2	4	1	2	2	2	3	3	4	2	1	2	1	2	4	2	2	2	3	1	4	1	5	1	1	2	1	1	5	2	2	1	4	2	3	2	3	2	1	6	3	2	1	3	1
CZ16R16	2	2	2	2	2	2	2	1	2	2	3	2	4	2	3	3	2	1	2	2	2	2	3	4	1	4	2	3	2	2	2	1	2	4	3	2	2	2	4	3	3	1	4	2	4	4	4	1	3	2
CZ16R17	3	2	2	2	3	3	4	3	5	1	2	2	3	2	5	3	4	3	3	5	3	3	5	2	3	5	2	5	2	3	3	6	2	6	7	5	1	3	7	6	3	4	4	2	5	5	2	3	6	4
CZ16R18	2	3	3	3	2	2	4	2	5	2	1	3	4	4	2	3	3	2	3	3	2	2	4	4	1	6	1	5	2	2	2	2	2	4	4	2	1	4	3	3	3	4	4	1	7	2	6	2	3	1
CZ16R19	4	5	3	3	3	4	7	4	6	3	3	3	6	5	4	4	6	4	2	6	5	4	5	4	3	6	3	6	4	4	4	5	3	6	6	3	4	3	5	6	5	3	4	1	6	3	3	2	4	2
CZ16R20	4	3	3	3	3	5	4	3	4	3	2	3	4	4	3	3	4	3	4	5	3	2	4	3	2	4	3	4	3	3	4	4	3	4	4	3	3	3	4	4	4	4	4	2	6	3	5	3	4	2
CZ16R21	2	2	2	1	1	3	5	2	3	1	2	1	3	2	1	2	2	2	2	3	2	1	4	4	1	1	1	6	2	2	1	2	1	3	2	3	2	7	2	2	2	1	2	1	7	3	2	1	5	2
CZ16R22	3	2	1	1	1	1	7	3	3	1	1	1	1	2	1	1	3	2	1	2	1	1	3	1	1	2	1	1	1	1	1	1	1	1	4	1	1	1	2	1	4	1	1	1	4	1	2	1	2	1
CZ16R23	1	2	2	1	1	5	2	1	2	2	2	2	1	2	2	1	2	1	2	3	2	1	2	2	1	2	1	4	2	2	1	1	1	2	1	1	1	1	2	5	4	4	3	1	4	2	2	1	2	1
CZ16R24	1	2	3	1	2	3	3	2	2	1	2	3	2	3	2	2	2	2	2	5	3	1	3	2	1	2	1	4	2	2	1	2	2	5	2	1	2	2	3	3	4	4	4	1	6	2	4	1	4	1
CZ16R25	2	1	3	1	1	3	3	2	1	3	1	2	3	2	5	1	1	2	1	4	3	1	2	2	1	1	1	3	2	2	2	1	2	4	2	1	2	2	4	3	4	3	2	1	7	2	2	1	3	1
CZ16R26	2	1	2	1	1	2	4	4	1	2	1	2	1	2	2	1	1	1	2	3	3	1	2	2	2	2	1	4	1	1	3	2	2	2	3	2	1	1	4	2	3	3	5	1	5	1	4	1	3	1
CZ16R27	5	3	5	4	4	5	3	2	4	2	1	2	4	5	2	3	2	2	2	6	5	3	6	2	2	6	2	6	2	4	5	4	3	5	5	5	2	2	6	4	6	2	4	2	6	4	2	2	6	5
CZ16R28	1	1	3	1	2	2	3	1	1	3	1	1	2	3	3	2	2	1	1	5	2	1	4	1	1	2	1	4	1	1	2	1	1	2	1	1	1	3	4	3	2	2	1	1	5	2	1	1	1	1
CZ16R29	1	2	2	2	2	3	2	4	3	1	1	1	2	3	2	1	1	2	1	4	2	1	5	3	1	2	2	5	3	3	2	2	1	4	4	2	2	3	3	4	2	2	4	1	4	2	3	1	3	2
CZ16R30	4	4	2	2	2	4	6	4	5	3	2	4	3	4	3	4	3	2	2	4	5	3	4	4	2	3	2	6	2	4	4	3	2	6	6	4	3	3	4	5	3	4	4	3	6	4	4	2	5	4
CZ16R31	5	3	4	3	2	6	3	3	5	4	2	3	4	5	4	4	4	3	3	6	6	1	5	4	2	4	3	7	4	4	2	4	3	5	5	3	4	3	6	6	6	4	4	3	7	5	4	5	4	2
CZ16R32	3	3	3	3	3	3	4	2	3	2	3	3	3	4	4	3	3	3	2	5	3	2	5	2	3	2	2	6	3	3	3	2	3	4	3	3	2	4	6	5	3	5	3	3	6	3	3	1	4	2
CZ16R33	2	1	1	1	1	3	1	2	5	1	2	1	3	1	2	1	1	1	1	3	2	1	5	2	1	5	1	4	1	1	2	1	1	4	5	3	1	2	4	3	2	1	2	1	3	3	2	1	4	1
CZ16R34	1	2	4	2	2	4	5	2	3	3	3	2	4	4	4	3	3	3	2	6	3	1	4	3	1	3	1	6	3	2	3	3	3	5	2	2	3	3	5	3	4	3	3	1	5	3	4	3	5	1
CZ16R35	2	1	2	2	1	1	4	3	2	1	3	3	4	2	3	1	3	1	1	1	2	2	4	3	1	2	1	3	1	1	1	1	1	3	2	3	1	2	6	2	3	1	3	1	4	3	1	1	3	1
CZ16R36	3	2	6	2	1	3	4	3	4	4	3	3	4	4	5	3	3	3	2	6	4	1	7	3	3	3	2	7	4	4	4	4	2	5	5	3	5	5	5	5	3	3	5	2	6	4	6	2	5	2
CZ16R37	2	3	4	2	1	4	3	2	2	3	1	3	4	3	3	3	2	2	3	4	4	2	3	1	2	3	1	5	2	3	2	3	2	3	5	3	3	3	6	4	3	3	3	1	6	3	1	1	5	1
CZ16R38	2	2	1	1	1	1	1	1	1	1	2	2	2	3	3	2	1	1	1	2	2	1	2	1	3	3	1	5	4	1	1	1	1	5	2	1	1	4	4	5	2	1	4	1	3	3	2	1	3	1
CZ16R39	1	1	2	1	2	4	2	1	2	2	1	2	3	2	4	1	2	2	2	5	4	1	3	2	1	3	1	6	2	3	1	2	2	4	2	1	1	1	3	4	3	2	2	1	3	2	3	2	4	1
CZ16R40	2	1	2	2	1	3	3	2	3	2	1	2	2	3	2	2	2	2	2	3	4	1	4	2	1	3	2	4	2	3	2	3	1	3	2	2	2	3	2	3	3	2	2	1	3	3	2	1	3	1
CZ16R41	2	2	2	2	2	3	4	2	2	2	1	2	1	4	2	3	2	2	1	6	2	1	3	2	2	3	1	5	3	4	5	1	2	2	4	2	1	2	2	5	2	3	2	1	7	2	2	1	3	1
CZ16R42	4	4	4	3	3	4	3	4	4	2	3	3	4	3	3	3	4	3	3	5	3	4	4	3	4	4	3	4	3	3	4	4	3	5	7	3	3	4	4	5	3	3	4	4	6	2	3	3	4	3
CZ16R43	2	3	3	3	2	3	3	2	2	2	2	3	2	2	2	3	4	3	3	5	3	1	4	2	2	2	2	6	2	3	3	4	3	5	4	2	2	4	5	3	4	2	3	2	6	4	3	3	4	2
CZ16R44	5	1	4	2	1	2	2	2	2	1	1	1	3	1	5	1	1	1	1	4	1	1	1	1	1	1	1	3	1	1	1	1	1	2	4	1	1	1	2	2	2	2	3	1	7	5	2	1	3	1
CZ16R45	1	1	2	1	1	1	4	1	1	2	1	2	1	1	4	1	1	1	2	4	2	1	3	1	1	1	1	4	2	1	1	2	1	4	3	1	4	2	2	2	2	2	2	1	6	1	1	2	2	1
CZ16R46	1	1	1	1	1	1	3	2	1	1	2	2	2	1	1	1	2	1	1	2	2	1	3	2	1	2	1	3	1	1	1	1	1	1	1	2	1	1	2	2	2	1	2	1	5	2	2	1	2	1
CZ16R47	4	2	3	2	2	4	6	1	5	5	1	3	6	4	4	5	4	1	4	7	7	1	6	3	2	5	2	5	4	6	4	5	3	6	6	4	3	3	5	7	3	3	4	3	7	3	2	4	6	4
CZ16R48	3	1	1	1	1	2	3	1	2	2	1	2	2	1	1	1	1	3	1	3	1	1	2	1	1	1	1	3	1	1	1	1	1	1	5	1	1	3	4	2	4	1	1	1	6	1	1	1	3	1
CZ16R49	4	3	4	3	4	6	4	1	5	3	3	5	5	4	5	5	4	3	4	7	4	1	4	2	3	4	2	6	4	5	4	6	3	4	4	3	4	5	5	6	6	4	5	3	6	4	4	3	5	4
CZ16R50	2	2	3	2	2	3	3	2	4	3	2	2	3	4	3	2	2	2	2	5	2	1	4	3	2	3	1	4	3	3	3	2	1	3	3	2	2	2	4	5	4	3	5	1	6	2	2	2	4	2
CZ16R51	4	2	2	1	2	5	3	2	4	2	2	3	1	5	2	3	3	2	3	4	4	4	6	1	4	4	1	5	4	2	4	5	1	4	6	1	2	3	3	6	5	4	4	1	6	3	4	1	4	2
CZ16R52	4	4	5	3	3	6	5	3	5	4	3	5	4	7	6	5	4	5	4	5	6	3	5	5	4	4	4	6	5	5	4	5	4	5	5	4	6	4	6	5	6	6	6	4	6	5	6	5	6	2
CZ16R53	2	3	4	3	2	4	5	3	3	3	3	4	3	5	4	3	4	4	2	6	5	1	5	3	3	3	1	7	4	4	2	5	3	2	4	3	2	4	6	5	4	4	5	1	7	4	5	3	4	2
CZ16R54	3	1	4	1	2	4	3	1	5	3	1	4	3	5	5	2	2	3	3	5	4	1	6	2	2	2	1	5	4	3	2	2	1	3	3	2	5	3	4	5	6	3	2	2	5	1	4	1	5	1
CZ16R55	2	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	2	3	2	1	3	1	3	1	1	1	2	1
CZ16R56	4	1	2	1	1	2	2	1	1	2	1	2	1	2	2	2	2	1	1	2	1	1	4	2	1	3	1	3	1	1	2	1	1	3	3	1	1	2	3	3	2	2	1	1	2	2	2	1	3	1
CZ16R57	6	4	4	5	3	5	5	3	5	2	3	3	3	4	4	5	4	4	4	5	2	3	5	3	5	2	2	6	4	4	4	3	4	5	6	3	3	4	5	5	4	4	3	3	5	4	3	4	5	2
CZ16R58	2	2	2	3	1	4	4	2	4	3	2	4	4	4	3	3	4	5	2	5	5	3	4	3	2	5	4	3	3	3	5	5	3	5	4	3	2	2	4	6	3	4	5	1	5	3	4	3	4	3
CZ16R59	2	2	3	2	3	3	3	3	3	3	3	3	3	4	3	3	3	4	3	4	3	2	3	2	2	3	2	5	3	2	2	3	3	3	3	2	3	3	4	4	4	3	3	3	5	3	3	3	3	2
CZ16R60	2	3	2	1	3	3	2	2	4	3	2	4	3	5	5	2	2	4	2	5	2	1	4	2	3	3	1	5	3	3	1	4	1	3	4	1	2	3	7	5	4	5	3	1	6	2	5	2	5	1
CZ16R61	1	1	1	1	1	3	1	1	2	2	1	1	2	3	2	2	1	1	2	4	2	1	4	1	1	1	1	5	1	1	2	2	1	2	1	1	1	1	4	1	2	3	1	1	7	2	1	1	4	1
CZ16R62	1	1	3	1	2	3	6	1	2	3	1	2	2	5	3	2	2	2	2	7	4	1	4	2	2	2	1	6	2	2	2	2	2	2	2	2	2	2	5	4	4	3	2	2	7	2	2	1	2	2
CZ16R63	3	3	4	2	2	3	2	2	3	4	2	4	3	5	5	4	3	4	3	4	4	2	4	3	3	3	2	4	4	3	4	3	3	4	6	2	2	4	5	5	4	3	5	3	5	3	3	4	6	2
CZ16R64	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	2	2	2	3	3	2	4	2	2	2	2	5	3	3	2	3	2	2	2	2	2	3	6	3	3	2	4	2	4	2	3	2	2	2
CZ16R65	1	2	1	2	2	3	2	4	1	2	1	2	1	1	1	2	1	2	2	4	2	1	2	1	1	2	1	4	1	2	4	2	2	5	4	2	2	2	4	3	5	3	2	1	6	1	5	2	3	1
CZ16R66	3	2	2	3	1	2	3	3	2	1	2	1	3	2	2	3	2	2	1	2	4	2	3	2	1	3	1	3	1	2	4	2	1	2	3	2	1	4	3	4	4	2	3	1	5	3	1	1	5	2
CZ16R67	1	3	1	2	1	3	5	4	2	1	1	1	3	1	2	2	2	1	1	3	2	1	4	3	1	3	1	5	1	2	1	1	2	4	3	1	1	1	3	4	2	3	2	1	4	2	2	1	2	2
CZ16R68	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1	1	1	2	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	3	1	2	1	1	1	3	1	2	1	2	1
CZ16R69	4	2	4	2	2	5	2	2	2	3	2	2	4	4	5	3	3	2	3	7	4	2	4	4	2	3	2	5	2	2	4	4	3	4	4	2	2	3	4	5	5	5	6	2	7	2	6	1	3	2
CZ16R70	3	3	3	3	3	4	4	3	3	2	3	5	2	4	4	4	4	3	3	6	4	1	5	2	2	2	2	6	5	4	3	3	3	3	2	1	2	3	4	3	4	4	5	3	6	2	2	2	4	1
CZ16R71	5	3	2	4	1	4	6	4	4	2	1	2	5	4	4	3	3	2	2	5	2	4	3	5	3	5	1	5	4	2	3	2	2	5	5	5	2	4	5	4	4	4	4	1	6	6	4	1	5	4
CZ16R72	1	2	4	1	1	5	2	1	4	2	1	2	3	4	4	2	2	2	1	6	3	1	4	2	2	2	1	6	4	2	3	1	2	3	2	1	1	4	4	3	5	3	4	1	7	4	4	1	6	2
CZ16R73	3	3	4	2	2	2	2	2	5	4	2	2	4	4	4	3	3	2	4	6	5	1	5	4	4	3	2	7	4	4	3	2	3	5	4	3	3	5	6	6	3	4	4	2	7	2	3	3	3	2
CZ16R74	2	1	3	2	2	3	3	1	3	3	2	3	1	3	4	2	2	2	2	4	3	1	3	1	1	2	2	4	3	2	3	2	2	3	1	2	2	3	3	2	4	3	2	2	4	3	2	3	2	1
CZ16R75	1	1	2	1	1	2	2	1	1	2	1	1	2	1	1	2	3	2	2	4	3	1	2	1	2	2	1	5	2	1	1	1	1	2	1	1	1	1	6	1	3	2	2	1	3	1	1	1	1	1
CZ16R76	3	3	1	2	2	3	5	3	5	4	1	2	4	5	5	3	4	2	2	7	5	1	6	3	3	2	2	6	3	4	2	3	2	6	5	2	3	2	5	5	2	5	4	2	6	1	3	1	3	1
CZ16R77	1	2	3	1	2	4	2	2	3	2	2	5	3	3	3	2	1	3	2	5	3	1	2	2	2	2	1	5	2	2	3	3	1	5	3	2	1	3	4	4	5	3	6	1	7	3	4	2	4	1
CZ16R78	1	1	2	1	2	2	5	2	2	2	1	2	1	4	3	2	3	1	2	4	4	1	4	4	3	4	1	6	2	2	2	3	2	3	1	1	1	4	4	5	3	3	5	1	5	3	5	3	3	2
CZ16R79	2	1	2	1	1	4	1	1	4	2	1	2	2	3	3	1	1	1	1	2	2	1	4	2	1	3	1	3	1	2	1	1	1	2	2	1	1	3	3	3	2	1	3	1	5	2	2	1	4	2
CZ16R80	5	4	5	5	4	6	5	4	6	5	4	4	5	5	6	5	4	5	4	6	5	6	6	5	5	5	4	6	6	6	5	5	5	5	5	5	5	5	6	6	5	4	6	4	6	6	6	4	5	4
CZ16R81	2	1	4	1	1	2	3	1	2	2	1	1	2	2	3	1	2	1	2	3	2	1	2	1	1	2	1	5	4	3	3	2	2	2	1	1	1	2	2	5	2	2	3	2	6	2	1	2	2	1
CZ16R82	1	1	2	3	1	2	5	1	1	3	1	1	4	1	2	1	2	2	2	5	2	1	2	3	1	5	1	4	4	3	1	3	2	4	1	1	2	2	3	5	2	2	3	2	6	3	4	1	3	2
CZ16R83	1	1	4	1	1	4	1	1	1	1	1	1	2	1	1	1	2	2	1	6	3	1	4	2	1	1	1	6	2	3	2	1	1	4	3	1	1	1	2	5	4	2	4	1	3	5	4	1	1	1
CZ16R84	2	2	3	2	2	3	3	2	3	2	2	2	2	3	3	2	2	2	2	3	4	2	3	2	2	2	2	3	2	2	2	2	2	3	3	2	2	2	3	2	3	2	3	2	5	3	3	2	3	2
CZ16R85	2	3	2	1	1	3	3	2	4	2	1	4	6	4	4	5	2	3	1	5	3	1	5	3	2	2	1	7	1	1	2	4	1	4	4	1	2	2	2	3	1	2	5	1	7	1	2	1	5	1
CZ16R86	3	2	3	2	1	4	3	3	4	3	1	3	4	3	3	3	3	2	1	6	4	1	5	2	1	3	1	6	3	1	3	4	2	5	4	1	2	4	4	5	2	1	3	1	6	3	2	1	4	1
CZ16R87	3	2	2	1	3	5	4	2	5	6	3	2	6	6	6	6	3	4	4	7	3	1	5	2	1	1	2	7	5	4	3	5	2	7	5	2	4	4	5	6	5	4	5	1	7	3	3	2	5	2
CZ16R88	2	2	4	1	2	2	4	3	5	3	3	3	4	6	4	3	2	2	2	6	3	1	4	4	4	2	1	5	4	4	3	5	2	4	1	1	3	3	5	5	5	4	4	1	6	4	4	1	4	1
CZ16R89	2	3	2	1	1	3	3	2	3	5	1	2	4	3	4	3	1	3	2	5	3	1	5	1	3	3	1	4	2	2	3	3	1	3	4	3	2	2	3	4	4	3	3	1	4	1	1	2	4	1
