Rater;1001_F;1021_F;1041_F;1051_F;1061_F;1071_F;1101_F;1141_F;1151_F;1171_F;1181_F;1191_F;2031_F;2051_F;3010_F;4021_F;4061_F;4091_F;4101_F;4111_F;4121_F;4131_F;4161_F;4191_F;4241_F;5011_F;5021_F;5031_F;5041_F;5051_F;5061_F;5071_F;6011_F;6021_F;7011_F;7041_F;7051_F;7071_F;7081_F;7091_F;7101_F;7111_F;8011_F;8021_F;8061_F;8071_F;8081_F;8101_F;8111_F;8121_F;8131_F;9021_F;9031_F;9041_F;10011_F;10031_F
CZ_19_fem11;2;6;5;4;5;5;2;4;4;3;4;1;1;4;3;3;2;3;5;5;6;6;3;2;1;4;4;4;3;3;1;3;3;2;4;3;4;1;4;5;4;5;3;2;3;2;2;3;4;2;4;4;5;3;4;5
CZ_19_fem12;6;5;6;4;7;6;4;6;6;6;6;2;4;3;7;5;5;6;6;7;6;6;5;6;4;5;6;5;6;7;5;5;5;6;6;6;6;3;5;6;4;5;6;5;5;5;7;5;5;6;4;5;6;5;6;4
CZ_19_fem13;6;5;5;3;6;6;4;5;6;3;6;3;1;4;4;5;4;5;4;5;3;6;5;5;3;4;5;4;3;3;2;5;5;3;5;4;4;1;4;5;5;6;3;5;5;3;7;4;6;6;5;6;6;4;5;3
CZ_19_fem14;6;3;6;5;5;4;5;6;6;6;5;2;6;4;5;6;6;4;3;6;6;6;5;6;4;6;5;1;3;3;3;5;6;2;4;4;6;1;1;2;4;5;4;3;6;3;6;4;3;3;2;6;7;2;7;5
CZ_19_fem15;4;5;4;2;5;3;3;3;5;4;4;1;2;3;5;4;3;5;3;5;5;4;4;5;4;4;5;6;2;3;4;4;5;1;3;4;4;1;5;4;3;5;5;5;5;4;4;2;2;5;2;4;4;3;5;5
CZ_19_fem16;5;5;4;3;5;4;3;4;4;5;4;4;2;3;5;4;5;4;3;5;5;4;6;3;4;4;3;5;3;3;2;5;5;4;4;4;6;1;5;3;5;4;3;4;5;3;5;4;4;6;5;4;5;4;3;6
CZ_19_fem17;5;5;4;7;7;4;1;7;4;3;2;4;4;4;4;4;3;3;3;4;3;3;2;4;1;3;3;4;1;3;1;4;2;3;2;5;3;1;4;5;1;5;2;4;5;5;5;1;1;4;4;5;4;3;4;5
CZ_19_fem18;6;7;6;4;6;5;2;6;4;6;3;1;6;6;3;5;4;4;4;5;5;6;4;6;7;5;5;6;1;6;6;6;7;3;5;7;7;5;7;7;6;4;5;6;7;7;6;3;5;5;5;6;6;3;5;7
CZ_19_fem19;7;5;6;7;7;7;3;5;5;6;4;3;6;4;5;5;6;7;5;5;7;7;7;6;5;4;6;6;2;5;4;6;6;4;5;6;6;1;6;6;7;6;7;6;7;5;7;3;5;7;6;5;6;2;5;7
CZ_19_fem20;5;5;5;2;7;6;5;3;4;4;4;3;2;3;5;4;4;6;5;5;5;7;6;3;4;4;6;6;5;4;3;5;6;4;6;4;6;1;4;6;5;6;4;4;5;3;6;2;5;7;4;4;7;4;4;3
CZ_19_fem21;5;5;5;7;5;4;3;3;3;4;5;3;5;3;5;5;4;4;5;4;5;5;4;4;3;4;6;5;2;5;3;4;6;4;5;4;3;1;5;4;4;6;3;3;4;4;5;4;4;5;4;6;4;2;5;6
CZ_19_fem22;5;3;5;4;7;4;3;2;6;4;7;3;3;5;6;5;4;5;3;3;4;6;3;4;3;4;4;5;2;4;3;4;4;3;3;4;5;1;5;4;3;5;3;4;5;3;5;3;3;4;4;5;5;3;5;4
CZ_19_fem23;5;6;5;5;6;6;4;5;6;4;5;4;5;4;5;4;6;5;5;5;7;6;5;5;4;4;5;4;3;4;3;6;6;5;6;6;6;2;5;4;4;6;6;6;6;6;6;4;6;6;4;5;5;3;6;7
CZ_19_fem24;3;5;5;4;6;5;2;4;2;6;2;2;2;4;6;2;3;6;4;4;5;6;3;5;4;3;6;6;2;4;3;5;5;2;3;3;7;2;5;3;4;5;3;4;4;4;5;3;4;4;5;2;5;3;3;5
CZ_19_fem25;5;4;5;3;6;5;4;4;3;4;3;2;4;3;5;5;4;4;3;5;4;4;5;3;2;3;5;5;2;4;3;4;4;4;5;3;3;2;5;5;5;4;5;5;5;3;6;4;5;5;5;4;6;2;4;5
CZ_19_fem26;5;5;6;2;6;3;3;3;2;3;2;2;3;3;4;5;3;4;3;3;4;6;5;3;4;4;3;6;3;3;1;5;5;2;4;5;5;1;5;4;2;5;3;4;6;4;4;2;5;4;4;5;5;3;5;3
CZ_19_fem27;5;5;4;5;6;5;4;4;4;6;3;3;1;4;3;4;4;4;3;4;4;6;5;4;4;5;5;4;2;2;3;4;5;4;4;5;7;1;5;5;2;5;3;4;5;4;6;2;6;7;6;2;4;6;6;6
CZ_19_fem28;7;5;3;4;6;3;2;2;4;3;4;3;5;2;5;5;4;4;2;4;7;6;7;3;2;3;3;4;1;4;1;6;5;3;4;4;2;1;4;2;3;4;5;3;5;2;5;5;5;4;3;4;4;1;2;7
CZ_19_fem29;6;5;5;5;6;5;4;4;5;4;4;4;5;5;5;5;6;5;4;6;5;6;6;5;3;4;6;6;5;2;3;5;5;5;5;6;5;1;3;5;6;7;2;6;6;5;7;5;6;5;6;6;6;3;6;5
CZ_19_fem30;3;4;4;4;5;3;3;2;2;4;2;2;6;3;5;2;5;3;5;5;5;2;4;5;5;5;4;5;2;2;2;3;5;2;3;2;5;1;3;2;2;2;2;2;5;2;5;5;1;2;3;2;5;1;5;5
CZ_19_fem31;5;4;4;6;7;4;1;3;3;3;4;2;3;2;1;4;5;4;4;5;4;3;5;3;3;3;5;2;2;2;3;3;1;3;2;3;5;1;4;4;3;4;2;5;5;4;5;4;5;3;5;5;5;3;4;6
CZ_19_fem32;6;5;3;7;7;3;3;6;3;6;3;1;2;2;2;6;2;2;3;6;3;4;4;4;1;2;3;4;2;4;3;2;6;2;2;5;5;1;5;6;2;4;6;5;5;5;6;1;4;5;3;4;5;2;2;4
CZ_19_fem33;7;5;7;7;7;6;4;5;7;5;6;1;5;5;7;7;4;5;5;4;5;7;7;6;3;4;6;7;4;5;4;6;6;5;6;5;4;1;5;6;3;6;6;6;7;7;7;5;5;6;6;7;6;3;6;6
CZ_19_fem34;6;4;4;6;6;6;2;4;5;5;7;4;2;3;7;6;5;4;3;6;4;6;6;4;2;5;4;5;2;3;3;5;5;3;5;4;4;2;3;3;4;5;2;6;6;4;7;5;7;5;5;6;6;6;6;5
CZ_19_fem35;6;2;4;4;5;4;2;5;4;5;5;2;4;3;4;5;5;5;3;5;4;4;5;3;4;3;4;4;1;4;3;5;5;2;3;3;5;1;3;3;4;3;5;4;4;3;5;3;4;5;3;4;5;3;4;3
CZ_19_fem36;6;5;5;4;7;6;5;4;6;6;5;6;3;6;6;5;7;7;5;7;7;6;6;5;3;4;3;5;1;6;3;6;6;3;6;5;6;1;7;5;4;5;5;7;6;4;7;5;4;7;5;6;6;2;4;7
CZ_19_fem37;7;5;5;4;7;3;2;5;3;4;2;2;3;1;4;5;5;4;2;7;7;5;6;5;3;3;3;2;1;2;1;4;6;2;4;4;3;1;4;3;4;3;6;3;4;5;7;4;3;4;3;5;4;3;3;4
CZ_19_fem38;6;4;5;2;7;5;4;3;5;6;4;1;2;4;4;5;5;4;3;5;6;5;7;3;3;3;5;5;5;4;2;5;6;3;3;3;3;1;3;5;5;5;2;7;5;2;7;4;6;7;6;4;5;3;4;7
CZ_19_fem39;6;3;4;4;6;6;2;2;3;5;3;3;2;4;5;4;4;5;3;6;4;6;5;4;4;4;4;5;2;5;3;4;6;3;3;2;6;1;5;2;6;4;3;4;5;4;7;3;4;5;4;6;5;4;5;6
CZ_19_fem40;6;6;5;4;6;5;4;4;3;4;6;3;6;5;3;4;4;5;5;5;7;5;6;6;6;5;6;6;3;3;4;5;6;3;7;7;6;3;5;5;6;5;4;7;5;7;7;3;6;5;5;5;6;4;5;6
CZ_19_fem41;5;6;5;3;6;4;3;5;6;5;3;2;5;5;5;3;5;5;3;5;5;5;5;4;4;3;4;5;2;3;3;5;6;3;5;5;5;3;3;5;3;5;5;5;6;4;6;4;5;5;3;6;5;4;5;6
CZ_19_fem42;3;4;5;5;6;5;1;1;5;4;1;2;1;1;5;1;4;2;1;4;5;5;4;2;1;4;1;5;1;5;1;4;6;3;5;2;7;1;4;2;1;4;1;3;2;3;5;3;1;3;3;2;4;1;3;4
CZ_19_fem43;6;4;5;4;6;4;2;3;6;6;3;5;7;4;4;6;6;5;4;6;6;5;6;4;4;6;3;5;6;5;4;6;6;3;6;5;5;1;6;5;4;6;4;5;6;5;6;4;5;6;5;3;4;2;4;6
CZ_19_fem44;5;6;5;5;6;2;5;4;4;5;5;1;2;2;5;5;6;3;5;6;4;6;5;5;3;4;5;5;2;2;2;5;5;3;6;3;6;1;5;5;1;5;4;5;5;5;5;2;3;5;3;2;6;2;5;5
CZ_19_fem45;4;3;4;2;3;3;3;4;3;5;4;1;6;4;2;4;5;2;3;5;5;5;5;4;4;3;4;4;1;3;1;4;5;1;3;5;6;7;5;4;5;5;5;3;5;6;6;2;5;5;4;3;6;3;3;5
CZ_19_fem46;6;3;6;2;2;2;1;4;5;5;2;1;2;2;2;2;3;3;1;2;5;4;5;2;1;2;4;4;1;1;2;6;5;2;6;2;6;1;2;4;1;1;5;5;6;4;6;1;6;3;5;2;5;1;3;4
CZ_19_fem47;6;3;3;6;7;3;2;4;6;6;6;3;4;6;5;6;5;7;5;6;4;6;2;5;3;3;4;6;1;3;3;4;6;2;4;5;6;1;4;6;3;6;3;5;5;5;6;5;5;6;5;4;4;4;6;6
CZ_19_fem48;4;2;2;2;7;3;1;4;2;4;3;1;3;2;4;3;3;3;1;3;5;3;5;2;1;2;2;4;1;2;1;4;2;2;3;3;3;1;2;3;1;3;2;2;4;3;4;2;4;5;3;2;3;4;4;4
CZ_19_fem49;4;4;4;4;5;4;2;2;2;4;2;1;3;3;4;3;3;4;3;4;5;4;4;3;2;2;3;4;2;2;2;3;4;2;3;2;3;2;3;4;4;3;3;3;4;2;5;3;2;2;3;5;3;2;3;3
CZ_19_fem50;6;4;4;4;5;5;3;4;2;4;3;2;5;4;5;4;4;3;2;5;4;4;5;4;1;4;5;3;1;5;2;4;4;3;4;3;3;1;5;3;3;4;2;4;6;2;5;2;3;5;4;5;4;4;3;6
CZ_19_fem51;6;5;4;3;4;5;3;6;4;5;4;4;3;4;5;4;5;4;5;4;3;5;4;3;3;4;5;5;3;4;3;4;5;4;5;4;5;1;5;4;5;4;4;5;5;4;6;3;4;4;5;5;5;3;5;5
CZ_19_fem52;5;6;5;5;4;5;3;5;6;6;3;2;3;4;4;4;5;3;3;6;4;3;5;4;5;4;4;4;3;4;2;4;4;3;3;4;6;2;5;3;4;3;5;6;4;6;7;2;5;5;3;3;4;5;3;5
CZ_19_fem53;7;4;3;5;7;5;2;1;5;4;5;3;4;3;3;5;4;5;3;6;6;4;5;5;5;3;3;5;3;4;2;5;5;1;6;3;5;2;6;5;3;6;4;2;6;2;4;3;5;6;4;6;4;1;3;6
CZ_19_fem54;4;4;3;3;4;5;3;4;6;4;3;2;2;2;2;5;4;3;4;3;3;4;4;4;2;2;3;4;2;2;2;3;5;3;3;4;4;1;4;3;2;4;3;3;5;4;4;3;4;4;3;3;2;3;4;5
CZ_19_fem55;4;2;2;3;6;4;3;2;2;3;4;2;3;2;5;4;4;4;4;5;4;5;4;3;3;2;3;5;1;4;2;4;3;2;3;3;5;1;3;2;3;4;3;3;4;3;4;2;3;5;2;3;5;2;4;5
CZ_19_fem56;4;5;5;2;3;4;1;4;5;2;3;3;3;2;4;4;5;2;5;3;3;5;3;5;2;3;3;4;1;1;1;4;5;2;4;7;6;6;4;2;2;6;2;2;5;3;6;2;4;6;4;2;4;2;4;6
CZ_19_fem57;6;4;5;5;7;3;3;6;6;5;4;3;5;3;5;3;5;7;4;4;7;7;6;6;4;3;4;6;2;3;3;5;6;3;3;3;5;6;4;4;5;5;6;6;5;5;7;6;4;6;7;6;5;3;5;6
CZ_19_fem58;5;3;6;5;7;2;5;3;5;7;2;1;2;5;5;6;6;7;3;7;6;5;6;5;5;4;7;6;1;2;4;7;6;4;5;2;5;3;7;4;3;7;5;5;7;6;7;2;7;7;7;4;6;7;5;3
CZ_19_fem59;6;5;6;5;6;6;5;5;6;6;5;4;5;5;6;5;5;5;5;6;5;6;6;5;5;5;5;6;4;5;4;6;5;5;5;5;6;3;5;6;5;6;5;6;5;5;6;6;6;6;6;5;6;5;5;6
CZ_19_fem60;5;4;5;5;7;4;3;3;7;5;4;2;2;2;3;4;3;3;2;4;7;6;5;3;3;5;3;4;1;3;2;5;4;4;4;3;5;2;5;6;3;5;3;3;5;4;6;4;4;6;4;3;5;2;4;3
